activation,regularization,test_loss,test_acc,
Sigmoid,bn,0.09465429635056813,0.9706,
Tanh,bn,0.09204895466770918,0.9745,
ReLU,bn,0.08719374286600307,0.9737,
Sigmoid,dropout_0.25,0.19127228735766338,0.9544,
Tanh,dropout_0.25,0.14719855859326758,0.9667,
ReLU,dropout_0.25,0.12129163080708513,0.968,
Sigmoid,dropout_0.5,0.49631672731270615,0.9151,
Tanh,dropout_0.5,0.4290078717971529,0.9385,
ReLU,dropout_0.5,0.21728764244508517,0.9458,
Sigmoid,None,0.14770855868524058,0.9611,
Tanh,None,0.1207215419411954,0.9668,
ReLU,None,0.1025986392491223,0.9704,
