activation,regularization,test_loss,test_acc,
Sigmoid,bn,0.3534504007312316,0.8753,
Tanh,bn,0.37672393703008,0.8669,
ReLU,bn,0.35772791099321993,0.879,
Sigmoid,dropout_0.25,0.4288115935235084,0.8655,
Tanh,dropout_0.25,0.4196434918838211,0.8709,
ReLU,dropout_0.25,0.34796776481067077,0.8738,
Sigmoid,dropout_0.5,0.6579978020885323,0.8274,
Tanh,dropout_0.5,0.6608670006824445,0.8415,
ReLU,dropout_0.5,0.44360009382797194,0.8431,
Sigmoid,None,0.36447131614896316,0.8713,
Tanh,None,0.3410595957236954,0.8797,
ReLU,None,0.3514317807894719,0.8769,
